Region,Country,Item_Type,Sales_Channel,Order_Priority,Order_Date,Order_ID,Ship_Date,Units_Sold,Unit_Price,Unit_Cost,Total_Revenue,Total_Cost,Total_Profit
Asia,India,Beverages,Online,L,8/24/2014,739889132,9/23/2014,8491,47.45,31.79,402897.94,269928.88,132969.06
Asia,India,Household,Offline,H,8/22/2011,638393485,10/4/2011,3674,668.27,502.54,2455224.0,1846332.0,608892.0
Asia,India,Personal Care,Offline,L,4/12/2015,149659812,5/21/2015,6519,81.73,56.67,532797.9,369431.72,163366.14
Asia,India,Clothes,Online,H,1/4/2013,331017911,2/11/2013,4411,109.28,35.84,482034.1,158090.23,323943.84
Asia,India,Vegetables,Offline,C,4/12/2016,886636006,4/20/2016,4152,154.06,90.93,639657.1,377541.38,262115.77
Asia,India,Household,Offline,M,10/25/2010,814805591,11/26/2010,7936,668.27,502.54,5303390.5,3988157.5,1315233.2
Asia,India,Office Supplies,Offline,H,11/9/2014,967189395,12/21/2014,1690,651.21,524.96,1100544.9,887182.4,213362.5
Asia,India,Snacks,Online,L,7/23/2015,964144980,7/23/2015,780,152.58,97.44,119012.4,76003.2,43009.2
Asia,India,Office Supplies,Online,H,2/13/2015,390249669,3/28/2015,2404,651.21,524.96,1565508.9,1262003.9,303505.0
Asia,India,Cereal,Online,L,5/12/2017,370730912,5/28/2017,6370,205.7,117.11,1310309.0,745990.7,564318.3
Asia,India,Clothes,Online,C,12/27/2012,120727145,1/31/2013,4700,109.28,35.84,513616.0,168448.0,345168.0
Asia,India,Fruits,Online,M,3/11/2010,464968717,3/22/2010,3431,9.33,6.92,32011.23,23742.52,8268.71
Asia,India,Beverages,Online,H,3/16/2016,493210446,4/30/2016,786,47.45,31.79,37295.7,24986.94,12308.76
Asia,India,Cereal,Offline,L,1/2/2015,326170623,2/18/2015,9990,205.7,117.11,2054943.0,1169928.9,885014.1
Asia,India,Cereal,Offline,L,9/21/2010,520522201,10/27/2010,2941,205.7,117.11,604963.7,344420.5,260543.19
Asia,India,Personal Care,Online,H,4/27/2012,603429067,6/5/2012,6925,81.73,56.67,565980.25,392439.75,173540.5
Asia,India,Baby Food,Online,M,11/14/2014,689676463,12/17/2014,9446,255.28,159.42,2411375.0,1505881.4,905493.56
Asia,India,Vegetables,Online,H,1/10/2014,108918130,1/11/2014,150,154.06,90.93,23109.0,13639.5,9469.5
Asia,India,Household,Online,M,7/24/2013,374804008,8/9/2013,1690,668.27,502.54,1129376.2,849292.6,280083.7
Asia,India,Meat,Online,C,2/17/2014,716255652,3/7/2014,4819,421.89,364.69,2033087.9,1757441.1,275646.8
Asia,India,Clothes,Offline,H,7/26/2010,170544993,8/7/2010,6908,109.28,35.84,754906.25,247582.72,507323.53
Asia,India,Baby Food,Offline,H,6/20/2010,728953015,6/26/2010,2251,255.28,159.42,574635.25,358854.4,215780.86
Asia,India,Office Supplies,Online,L,7/3/2015,583629643,7/8/2015,7836,651.21,524.96,5102881.5,4113586.5,989295.0
Asia,India,Cereal,Online,L,6/10/2010,209229314,7/12/2010,4458,205.7,117.11,917010.6,522076.38,394934.22
Asia,India,Office Supplies,Online,C,6/2/2011,382794415,6/17/2011,6229,651.21,524.96,4056387.0,3269975.8,786411.25
Asia,India,Meat,Online,H,10/24/2012,373084390,11/29/2012,2817,421.89,364.69,1188464.1,1027331.75,161132.4
Asia,India,Beverages,Online,L,4/14/2016,165006768,6/2/2016,8024,47.45,31.79,380738.8,255082.95,125655.84
Asia,India,Office Supplies,Online,L,6/20/2015,519789636,7/19/2015,6159,651.21,524.96,4010802.5,3233228.8,777573.75
Asia,India,Snacks,Offline,L,11/12/2012,556219184,12/29/2012,6472,152.58,97.44,987497.75,630631.7,356866.1
Asia,India,Baby Food,Online,C,9/6/2013,660941207,9/19/2013,6046,255.28,159.42,1543422.9,963853.3,579569.56
Asia,India,Baby Food,Online,M,6/24/2017,328425395,8/12/2017,7228,255.28,159.42,1845163.9,1152287.8,692876.06
Asia,India,Baby Food,Online,H,8/31/2012,641973054,9/5/2012,2948,255.28,159.42,752565.44,469970.16,282595.28
Asia,India,Baby Food,Offline,M,2/12/2010,599413049,3/5/2010,8496,255.28,159.42,2168859.0,1354432.4,814426.56
Asia,India,Cereal,Offline,L,10/20/2013,531260907,11/13/2013,763,205.7,117.11,156949.1,89354.93,67594.17
Asia,India,Household,Online,L,1/4/2010,979450309,1/29/2010,9967,668.27,502.54,6660647.0,5008816.0,1651830.9
Asia,India,Cosmetics,Offline,C,4/12/2017,414179265,4/18/2017,3703,437.2,263.33,1618951.6,975111.0,643840.6
Asia,India,Clothes,Offline,H,8/29/2011,539251315,9/22/2011,5302,109.28,35.84,579402.56,190023.69,389378.88
Asia,India,Fruits,Offline,H,12/6/2016,197264516,1/25/2017,3809,9.33,6.92,35537.97,26358.28,9179.69
Asia,India,Vegetables,Online,M,9/29/2012,642212092,10/24/2012,3684,154.06,90.93,567557.06,334986.12,232570.92
Asia,India,Beverages,Offline,H,1/28/2010,400889670,2/11/2010,1017,47.45,31.79,48256.65,32330.43,15926.22
Asia,India,Personal Care,Offline,L,6/10/2017,898839843,6/20/2017,5539,81.73,56.67,452702.47,313895.12,138807.34
Asia,India,Snacks,Offline,C,5/17/2015,312881028,5/20/2015,7304,152.58,97.44,1114444.4,711701.75,402742.56
Asia,India,Fruits,Online,M,6/7/2014,884718978,7/21/2014,6861,9.33,6.92,64013.13,47478.12,16535.01
Asia,India,Household,Offline,M,10/9/2013,645791661,11/16/2013,2958,668.27,502.54,1976742.6,1486513.4,490229.34
Asia,India,Beverages,Online,L,12/13/2015,701641261,12/28/2015,96,47.45,31.79,4555.2,3051.84,1503.36
Asia,India,Vegetables,Online,H,7/12/2016,543521821,7/20/2016,9040,154.06,90.93,1392702.4,822007.2,570695.2
Asia,India,Fruits,Offline,C,1/30/2015,501159226,2/7/2015,3007,9.33,6.92,28055.31,20808.44,7246.87
Asia,India,Cereal,Offline,M,2/25/2010,575878274,3/23/2010,4033,205.7,117.11,829588.1,472304.62,357283.47
Asia,India,Office Supplies,Offline,M,5/6/2017,735618627,6/21/2017,4754,651.21,524.96,3095852.2,2495659.8,600192.5
Asia,India,Clothes,Offline,L,12/6/2016,153577125,1/15/2017,5739,109.28,35.84,627157.94,205685.77,421472.16
Asia,India,Baby Food,Online,L,3/2/2017,175350654,3/20/2017,9010,255.28,159.42,2300072.8,1436374.2,863698.6
Asia,India,Snacks,Online,L,10/10/2016,834662091,11/26/2016,3916,152.58,97.44,597503.25,381575.03,215928.23
Asia,India,Cosmetics,Offline,M,6/11/2012,430061376,7/20/2012,3573,437.2,263.33,1562115.6,940878.06,621237.5
Asia,India,Office Supplies,Offline,M,7/14/2016,678205192,8/21/2016,4842,651.21,524.96,3153158.8,2541856.2,611302.5
Asia,India,Baby Food,Offline,C,9/22/2010,829955136,9/29/2010,1023,255.28,159.42,261151.44,163086.66,98064.78
Asia,India,Meat,Online,H,12/11/2014,995727241,1/7/2015,6673,421.89,364.69,2815272.0,2433576.2,381695.6
Asia,India,Clothes,Offline,L,12/2/2013,948460280,12/5/2013,9329,109.28,35.84,1019473.1,334351.38,685121.75
Asia,India,Fruits,Online,M,11/20/2013,250365817,12/28/2013,7664,9.33,6.92,71505.12,53034.88,18470.24
Asia,India,Vegetables,Offline,M,7/14/2016,765579974,7/23/2016,982,154.06,90.93,151286.92,89293.26,61993.66
Asia,India,Baby Food,Offline,H,5/24/2010,688647782,6/17/2010,5037,255.28,159.42,1285845.4,802998.56,482846.8
Asia,India,Household,Offline,C,1/6/2010,301508462,2/1/2010,1909,668.27,502.54,1275727.4,959348.9,316378.56
Asia,India,Baby Food,Offline,L,3/26/2016,925559365,5/14/2016,2439,255.28,159.42,622627.94,388825.38,233802.55
Asia,India,Cereal,Offline,C,4/16/2011,552540910,5/2/2011,7989,205.7,117.11,1643337.2,935591.8,707745.5
Asia,India,Household,Offline,M,1/9/2010,745624768,2/5/2010,5793,668.27,502.54,3871288.0,2911214.2,960073.9
Asia,India,Meat,Offline,C,7/11/2011,399564874,7/14/2011,8980,421.89,364.69,3788572.2,3274916.2,513656.0
Asia,India,Personal Care,Online,L,10/10/2013,955224597,10/19/2013,1040,81.73,56.67,84999.2,58936.8,26062.4
Asia,India,Snacks,Online,M,6/17/2013,120586812,7/19/2013,3172,152.58,97.44,483983.75,309079.7,174904.08
Asia,India,Cereal,Offline,L,6/12/2012,739494311,6/22/2012,1655,205.7,117.11,340433.5,193817.05,146616.45
Asia,India,Snacks,Offline,M,12/20/2013,691099965,12/31/2013,692,152.58,97.44,105585.36,67428.48,38156.88
Asia,India,Fruits,Offline,M,12/21/2011,736013448,1/5/2012,1590,9.33,6.92,14834.7,11002.8,3831.9
Asia,India,Clothes,Online,L,3/22/2010,263063180,4/18/2010,5096,109.28,35.84,556890.9,182640.64,374250.25
Asia,India,Baby Food,Online,C,6/5/2011,783223330,6/11/2011,2043,255.28,159.42,521537.03,325695.06,195841.98
Asia,India,Cosmetics,Online,M,6/28/2015,376960074,6/28/2015,9718,437.2,263.33,4248709.5,2559041.0,1689668.6
Asia,India,Personal Care,Online,M,3/16/2012,670412194,4/8/2012,8721,81.73,56.67,712767.3,494219.06,218548.27
Asia,India,Cosmetics,Online,M,4/5/2015,117739808,5/1/2015,680,437.2,263.33,297296.0,179064.4,118231.6
Asia,India,Cereal,Offline,L,5/30/2016,170009839,7/9/2016,8544,205.7,117.11,1757500.8,1000587.8,756912.94
Asia,India,Vegetables,Online,C,7/28/2010,348915755,7/30/2010,781,154.06,90.93,120320.86,71016.33,49304.53
Asia,India,Meat,Online,M,2/28/2015,588773047,4/19/2015,9883,421.89,364.69,4169538.8,3604231.2,565307.6
Asia,India,Cereal,Offline,M,11/20/2013,337740600,11/29/2013,3804,205.7,117.11,782482.8,445486.44,336996.38
Asia,India,Meat,Online,H,7/7/2016,380539643,7/20/2016,8992,421.89,364.69,3793635.0,3279292.5,514342.4
Asia,India,Clothes,Offline,M,2/21/2014,985622394,3/21/2014,6424,109.28,35.84,702014.75,230236.16,471778.56
Asia,India,Vegetables,Online,M,7/8/2016,689972579,8/12/2016,7074,154.06,90.93,1089820.5,643238.8,446581.62
Asia,India,Vegetables,Offline,L,7/22/2012,668889987,8/19/2012,8266,154.06,90.93,1273460.0,751627.4,521832.6
Asia,India,Beverages,Offline,H,11/29/2013,329594409,12/9/2013,3165,47.45,31.79,150179.25,100615.35,49563.9
Asia,India,Cosmetics,Online,L,9/30/2016,446000564,10/2/2016,333,437.2,263.33,145587.6,87688.89,57898.71
Asia,India,Snacks,Online,M,11/10/2016,641141784,12/11/2016,6956,152.58,97.44,1061346.5,677792.6,383553.84
Asia,India,Meat,Offline,M,3/3/2013,946740663,3/26/2013,456,421.89,364.69,192381.84,166298.64,26083.2
Asia,India,Meat,Online,M,1/17/2016,908549869,2/27/2016,8951,421.89,364.69,3776337.5,3264340.2,511997.2
Asia,India,Meat,Online,M,1/3/2011,284935414,1/26/2011,7576,421.89,364.69,3196238.8,2762891.5,433347.2
Asia,India,Snacks,Online,C,11/7/2016,197025477,12/7/2016,3072,152.58,97.44,468725.75,299335.7,169390.08
Asia,India,Beverages,Online,L,2/27/2011,325479686,3/24/2011,5527,47.45,31.79,262256.16,175703.33,86552.82
Asia,India,Snacks,Offline,C,7/14/2016,721892583,9/1/2016,2912,152.58,97.44,444312.97,283745.28,160567.69
Asia,India,Meat,Offline,C,11/20/2014,721596467,1/6/2015,5285,421.89,364.69,2229688.8,1927386.6,302302.0
Asia,India,Fruits,Online,H,5/24/2014,598820817,6/10/2014,3242,9.33,6.92,30247.86,22434.64,7813.22
Asia,India,Cosmetics,Offline,L,5/24/2011,347253215,5/27/2011,8798,437.2,263.33,3846485.5,2316777.2,1529708.2
Asia,India,Cereal,Offline,C,7/30/2013,494098794,7/30/2013,3668,205.7,117.11,754507.6,429559.47,324948.12
Asia,India,Household,Online,C,10/29/2011,611715590,12/8/2011,9092,668.27,502.54,6075911.0,4569093.5,1506817.1
Asia,India,Meat,Online,C,7/8/2014,294390952,8/13/2014,5680,421.89,364.69,2396335.2,2071439.2,324896.0
Asia,India,Office Supplies,Offline,L,5/20/2012,374367558,5/31/2012,2535,651.21,524.96,1650817.4,1330773.6,320043.75
Asia,India,Cosmetics,Online,H,5/4/2014,634122979,5/12/2014,9936,437.2,263.33,4344019.0,2616447.0,1727572.4
Asia,India,Household,Offline,M,5/6/2012,813719832,6/17/2012,6636,668.27,502.54,4434639.5,3334855.5,1099784.2
Asia,India,Clothes,Offline,C,10/14/2014,380004489,11/25/2014,628,109.28,35.84,68627.84,22507.52,46120.32
Asia,India,Clothes,Online,H,8/31/2013,169516313,9/3/2013,2499,109.28,35.84,273090.72,89564.16,183526.56
Asia,India,Personal Care,Offline,L,7/9/2010,737338244,8/4/2010,3627,81.73,56.67,296434.72,205542.1,90892.62
Asia,India,Baby Food,Offline,H,1/2/2010,273209655,1/13/2010,7663,255.28,159.42,1956210.6,1221635.5,734575.2
Asia,India,Meat,Offline,L,4/14/2014,713112533,4/24/2014,4700,421.89,364.69,1982883.0,1714043.0,268840.0
Asia,India,Fruits,Online,C,3/20/2015,422408711,4/16/2015,8979,9.33,6.92,83774.07,62134.68,21639.39
Asia,India,Fruits,Offline,C,6/25/2010,320377910,7/12/2010,5798,9.33,6.92,54095.34,40122.16,13973.18
Asia,India,Beverages,Online,L,9/3/2013,526257836,10/7/2013,243,47.45,31.79,11530.35,7724.97,3805.38
Asia,India,Cereal,Online,H,12/5/2012,877658545,1/10/2013,7522,205.7,117.11,1547275.4,880901.44,666374.0
Asia,India,Clothes,Online,L,5/10/2017,632855260,6/8/2017,4790,109.28,35.84,523451.2,171673.6,351777.6
Asia,India,Household,Online,L,5/31/2010,545818221,7/16/2010,8596,668.27,502.54,5744449.0,4319834.0,1424615.1
Asia,India,Cereal,Offline,M,3/27/2013,499242198,5/10/2013,5716,205.7,117.11,1175781.2,669400.75,506380.44
Asia,India,Vegetables,Online,L,5/25/2015,566859185,6/12/2015,5085,154.06,90.93,783395.1,462379.06,321016.06
Asia,India,Cereal,Offline,M,3/3/2015,989201962,4/13/2015,5698,205.7,117.11,1172078.6,667292.75,504785.8
Asia,India,Snacks,Online,M,4/13/2017,283117091,5/8/2017,9494,152.58,97.44,1448594.5,925095.4,523499.16
Asia,India,Fruits,Online,H,7/22/2014,755038678,7/27/2014,1578,9.33,6.92,14722.74,10919.76,3802.98
Asia,India,Personal Care,Online,C,5/25/2014,951941144,7/13/2014,9394,81.73,56.67,767771.6,532358.0,235413.64
Asia,India,Vegetables,Offline,M,2/16/2015,921740758,3/3/2015,2428,154.06,90.93,374057.7,220778.05,153279.64
Asia,India,Vegetables,Offline,H,4/20/2012,789946019,5/17/2012,1436,154.06,90.93,221230.16,130575.48,90654.68
Asia,India,Snacks,Online,M,10/31/2014,800586020,12/19/2014,49,152.58,97.44,7476.42,4774.56,2701.86
Asia,India,Clothes,Offline,C,11/7/2013,230213201,11/29/2013,4057,109.28,35.84,443348.97,145402.88,297946.1
Asia,India,Personal Care,Online,M,10/6/2011,202901446,11/5/2011,1902,81.73,56.67,155450.45,107786.34,47664.12
Asia,India,Household,Offline,H,12/3/2011,949686372,1/19/2012,2156,668.27,502.54,1440790.1,1083476.2,357313.88
Asia,India,Cereal,Online,C,3/26/2015,585390889,4/16/2015,9028,205.7,117.11,1857059.6,1057269.1,799790.5
Asia,India,Personal Care,Offline,H,9/21/2010,564209592,11/7/2010,1011,81.73,56.67,82629.03,57293.37,25335.66
Asia,India,Household,Online,H,3/15/2012,360979259,3/16/2012,639,668.27,502.54,427024.53,321123.06,105901.47
Asia,India,Baby Food,Online,M,8/7/2011,483557498,9/23/2011,4264,255.28,159.42,1088513.9,679766.9,408747.03
Asia,India,Snacks,Online,H,12/10/2015,257524955,12/23/2015,6212,152.58,97.44,947826.94,605297.25,342529.7
Asia,India,Snacks,Offline,H,6/15/2013,798528659,7/16/2013,1230,152.58,97.44,187673.4,119851.2,67822.2
Asia,India,Beverages,Online,C,2/12/2017,432710969,2/22/2017,7646,47.45,31.79,362802.7,243066.34,119736.36
Asia,India,Personal Care,Offline,H,6/3/2010,177309310,6/21/2010,8620,81.73,56.67,704512.6,488495.4,216017.2
Asia,India,Cosmetics,Online,M,3/1/2017,765917718,4/17/2017,928,437.2,263.33,405721.6,244370.23,161351.36
Asia,India,Office Supplies,Online,H,8/5/2010,559206521,8/10/2010,491,651.21,524.96,319744.12,257755.36,61988.75
Asia,India,Office Supplies,Offline,H,3/26/2016,969246757,4/4/2016,509,651.21,524.96,331465.88,267204.62,64261.25
Asia,India,Office Supplies,Online,L,2/20/2017,686689126,3/16/2017,5427,651.21,524.96,3534116.8,2848958.0,685158.75
Asia,India,Office Supplies,Offline,C,4/29/2015,439179170,5/13/2015,1731,651.21,524.96,1127244.5,908705.75,218538.75
Asia,India,Meat,Online,H,3/2/2017,219038045,3/31/2017,7080,421.89,364.69,2986981.2,2582005.2,404976.0
Asia,India,Fruits,Offline,L,2/5/2016,520127379,2/22/2016,6105,9.33,6.92,56959.65,42246.6,14713.05
Asia,India,Household,Offline,C,11/25/2016,399170053,12/29/2016,2144,668.27,502.54,1432770.9,1077445.8,355325.12
Asia,India,Snacks,Online,M,2/8/2017,975969445,3/10/2017,9902,152.58,97.44,1510847.1,964850.9,545996.25
Asia,India,Household,Offline,M,9/25/2012,329157960,9/30/2012,4010,668.27,502.54,2679762.8,2015185.4,664577.3
Asia,India,Fruits,Online,L,7/7/2010,162159764,8/19/2010,5533,9.33,6.92,51622.89,38288.36,13334.53
Asia,India,Beverages,Online,C,7/10/2013,529400956,8/21/2013,362,47.45,31.79,17176.9,11507.98,5668.92
Asia,India,Cosmetics,Offline,L,3/26/2011,191035354,4/10/2011,461,437.2,263.33,201549.2,121395.13,80154.07
Asia,India,Beverages,Online,M,4/26/2017,259582316,5/27/2017,5031,47.45,31.79,238720.95,159935.48,78785.46
Asia,India,Clothes,Offline,M,5/6/2010,133382880,6/13/2010,9813,109.28,35.84,1072364.6,351697.9,720666.75
Asia,India,Beverages,Online,M,7/25/2017,507035195,8/3/2017,1837,47.45,31.79,87165.65,58398.23,28767.42
Asia,India,Clothes,Offline,H,1/7/2015,861282908,1/24/2015,1607,109.28,35.84,175612.95,57594.88,118018.08
Asia,India,Office Supplies,Online,C,1/26/2017,868442046,3/10/2017,155,651.21,524.96,100937.55,81368.8,19568.75
Asia,India,Baby Food,Offline,M,6/2/2011,339107024,6/7/2011,8159,255.28,159.42,2082829.5,1300707.8,782121.75
Asia,India,Vegetables,Offline,M,1/10/2017,447860515,2/15/2017,734,154.06,90.93,113080.04,66742.62,46337.42
Asia,India,Clothes,Online,C,2/18/2014,541506087,3/16/2014,2540,109.28,35.84,277571.2,91033.6,186537.6
Asia,India,Personal Care,Online,H,3/12/2010,818089044,4/25/2010,9583,81.73,56.67,783218.56,543068.6,240149.98
Asia,India,Cereal,Online,L,11/9/2014,836127221,11/19/2014,7480,205.7,117.11,1538636.0,875982.8,662653.2
Asia,India,Household,Offline,M,3/1/2010,976307189,3/18/2010,9848,668.27,502.54,6581123.0,4949014.0,1632109.0
Asia,India,Personal Care,Offline,C,11/18/2011,751162993,12/29/2011,4677,81.73,56.67,382251.22,265045.6,117205.62
Asia,India,Snacks,Offline,M,6/18/2014,373380506,7/26/2014,444,152.58,97.44,67745.52,43263.36,24482.16
Asia,India,Snacks,Offline,C,11/18/2014,630600488,12/15/2014,7553,152.58,97.44,1152436.8,735964.3,416472.4
Asia,India,Beverages,Offline,C,11/20/2016,173490703,12/25/2016,8609,47.45,31.79,408497.06,273680.12,134816.94
Asia,India,Snacks,Online,H,8/22/2011,463643920,8/22/2011,1394,152.58,97.44,212696.52,135831.36,76865.16
Asia,India,Vegetables,Online,L,1/24/2013,339403140,1/31/2013,5786,154.06,90.93,891391.2,526121.0,365270.2
Asia,India,Clothes,Online,H,8/11/2013,117443692,9/4/2013,3053,109.28,35.84,333631.84,109419.52,224212.31
Asia,India,Baby Food,Offline,H,6/3/2017,954294621,6/21/2017,5840,255.28,159.42,1490835.2,931012.8,559822.4
Asia,India,Baby Food,Offline,H,12/5/2016,372014081,1/16/2017,6088,255.28,159.42,1554144.6,970548.94,583595.7
Asia,India,Cereal,Online,H,8/11/2012,502525651,8/15/2012,7362,205.7,117.11,1514363.4,862163.8,652199.56
Asia,India,Household,Online,H,4/3/2012,413051879,5/4/2012,85,668.27,502.54,56802.95,42715.9,14087.05
Asia,India,Snacks,Online,L,2/16/2013,879279458,4/6/2013,7186,152.58,97.44,1096439.9,700203.8,396236.03
Asia,India,Fruits,Online,M,10/16/2010,251394498,12/2/2010,2073,9.33,6.92,19341.09,14345.16,4995.93
Asia,India,Cereal,Online,H,10/21/2016,192261445,10/30/2016,3289,205.7,117.11,676547.3,385174.78,291372.5
Asia,India,Baby Food,Online,C,12/8/2010,200942790,1/7/2011,2292,255.28,159.42,585101.75,365390.62,219711.12
Asia,India,Household,Offline,M,1/19/2013,704290854,2/25/2013,4170,668.27,502.54,2786686.0,2095591.8,691094.1
Asia,India,Cereal,Offline,L,7/27/2015,948756396,8/1/2015,6956,205.7,117.11,1430849.2,814617.2,616232.06
Asia,India,Fruits,Online,M,8/30/2014,243939244,9/18/2014,5898,9.33,6.92,55028.34,40814.16,14214.18
Asia,India,Beverages,Online,H,12/3/2010,434768331,12/31/2010,6465,47.45,31.79,306764.25,205522.34,101241.9
Asia,India,Household,Online,C,4/12/2010,624568736,5/10/2010,2623,668.27,502.54,1752872.2,1318162.4,434709.78
Asia,India,Office Supplies,Online,H,8/21/2013,506105220,9/7/2013,6636,651.21,524.96,4321429.5,3483634.5,837795.0
Asia,India,Office Supplies,Online,C,6/9/2011,371027028,6/27/2011,3998,651.21,524.96,2603537.5,2098790.0,504747.5
Asia,India,Office Supplies,Offline,M,2/9/2011,451777827,3/17/2011,9953,651.21,524.96,6481493.0,5224927.0,1256566.2
Asia,India,Cereal,Offline,L,5/15/2010,168924081,7/4/2010,7244,205.7,117.11,1490090.8,848344.8,641745.94
Asia,India,Snacks,Online,M,4/10/2010,905702865,5/14/2010,6459,152.58,97.44,985514.25,629364.94,356149.25
Asia,India,Office Supplies,Offline,C,11/4/2012,214866244,11/16/2012,2551,651.21,524.96,1661236.8,1339173.0,322063.75
Asia,India,Cosmetics,Online,M,3/6/2012,107001101,4/12/2012,2859,437.2,263.33,1249954.8,752860.5,497094.34
Asia,India,Cereal,Online,H,7/10/2011,133819329,8/22/2011,8968,205.7,117.11,1844717.6,1050242.5,794475.1
Asia,India,Cereal,Offline,L,7/3/2017,538716161,7/5/2017,6938,205.7,117.11,1427146.6,812509.2,614637.44
Asia,India,Fruits,Online,H,10/22/2015,664718186,11/2/2015,3738,9.33,6.92,34875.54,25866.96,9008.58
Asia,India,Fruits,Offline,C,3/10/2011,210948932,3/21/2011,3331,9.33,6.92,31078.23,23050.52,8027.71
Asia,India,Baby Food,Offline,H,11/19/2014,455850923,12/24/2014,5273,255.28,159.42,1346091.5,840621.7,505469.78
Asia,India,Baby Food,Online,M,12/7/2016,594072234,1/19/2017,8031,255.28,159.42,2050153.6,1280302.0,769851.7
Asia,India,Fruits,Online,M,11/25/2011,608333432,12/6/2011,8236,9.33,6.92,76841.88,56993.12,19848.76
Asia,India,Baby Food,Online,C,11/21/2016,986115920,12/5/2016,2469,255.28,159.42,630286.3,393607.97,236678.34
Asia,India,Meat,Online,M,8/16/2016,706743037,9/8/2016,9825,421.89,364.69,4145069.2,3583079.2,561990.0
Asia,India,Clothes,Online,C,11/7/2012,790044724,12/22/2012,645,109.28,35.84,70485.6,23116.8,47368.8
Asia,India,Vegetables,Offline,H,1/25/2011,253254449,2/24/2011,2474,154.06,90.93,381144.44,224960.81,156183.62
Asia,India,Baby Food,Offline,M,1/16/2014,644030416,2/7/2014,1767,255.28,159.42,451079.75,281695.12,169384.62
Asia,India,Personal Care,Offline,H,7/26/2011,598088252,8/5/2011,6459,81.73,56.67,527894.06,366031.53,161862.55
Asia,India,Cereal,Offline,L,3/17/2014,934931647,4/27/2014,5906,205.7,117.11,1214864.2,691651.7,523212.53
Asia,India,Clothes,Online,C,1/29/2014,489433467,3/17/2014,3094,109.28,35.84,338112.3,110888.96,227223.36
Asia,India,Cosmetics,Offline,C,6/14/2016,368533217,7/31/2016,6024,437.2,263.33,2633692.8,1586299.9,1047392.9
Asia,India,Clothes,Offline,L,11/5/2012,567986571,12/19/2012,8703,109.28,35.84,951063.8,311915.53,639148.3
